id,user_id,status,total_price,created_at,phone,delivery_method,payment_method
45,100,delivered,3690.06,2025-06-09 17:31:00,+7 (491) 456-9499,pickup,online
46,509,paid,1511.97,2025-09-06 16:48:00,8 845 966 11 12,pickup,cash
47,338,paid,1427.24,2025-06-07 16:14:00,8 014 308 84 61,pickup,online
48,86,paid,2876.89,2025-06-09 19:39:00,8 046 459 22 33,pickup,card
49,978,shipped,5542.72,2024-11-29 15:02:00,8 050 878 99 32,pickup,cash
50,512,shipped,6263.46,2025-09-05 20:39:00,81590566023,pickup,cash
51,175,shipped,4414.2,2025-08-05 15:14:00,+7 (635) 461-14-14,courier,cash
52,35,paid,3849.34,2025-01-08 20:33:00,+7 (136) 518-06-53,pickup,cash
53,599,paid,2513.43,2025-02-13 09:23:00,+7 381 852 3963,pickup,cash
54,323,pending,5977.14,2025-05-20 14:07:00,+7 436 043 5159,courier,card
55,107,delivered,4276.59,2025-04-03 21:47:00,+7 (028) 789-8342,post,online
56,997,pending,3789.26,2025-03-23 20:50:00,8 637 706 2219,pickup,online
57,73,delivered,4614.87,2024-10-18 08:49:00,+7 (739) 043-5466,post,cash
58,16,paid,3587.86,2024-11-30 15:01:00,+7 384 677 9030,post,card
59,659,delivered,6830.9,2025-02-06 19:55:00,+7 712 303 67 33,pickup,card
60,680,delivered,684.53,2024-12-05 16:43:00,+7 (203) 821-80-34,pickup,online
61,970,paid,4380.05,2025-05-25 13:56:00,+7 (712) 559-9213,courier,card
62,766,paid,1556.2,2025-08-24 15:21:00,8 547 274 38 21,pickup,cash
63,742,paid,3667.98,2025-06-28 10:26:00,+7 (606) 212-2371,pickup,card
64,181,pending,1628.87,2025-01-31 09:52:00,+7 977 852 68 45,pickup,cash
65,511,paid,7861.64,2024-11-28 19:15:00,8 (401) 108-8428,courier,cash
66,79,delivered,10607.57,2024-09-08 19:08:00,8 (237) 574-0025,pickup,cash
67,35,paid,407.25,2025-06-13 20:19:00,+76317612442,courier,cash
68,333,paid,7086.95,2025-06-25 10:14:00,8 (625) 983-7335,pickup,online
69,16,paid,4153.97,2025-07-20 12:03:00,8 280 813 94 15,pickup,card
70,16,pending,2044.92,2025-09-14 12:10:00,8 (900) 427-76-57,courier,online
71,927,paid,6158.42,2025-09-06 12:24:00,8 (238) 955-65-24,courier,cash
72,923,shipped,3731.49,2024-10-30 20:19:00,8 438 661 10 46,pickup,card
73,680,paid,5829.3,2025-07-26 17:29:00,8 (668) 163-2018,pickup,cash
74,635,canceled,3495.19,2025-05-19 18:12:00,85203605310,pickup,cash
75,743,delivered,1864.98,2025-01-04 21:23:00,+7 (126) 982-0581,courier,cash
76,928,delivered,5416.23,2025-05-04 12:38:00,+7 226 719 47 03,pickup,cash
77,551,paid,6450.85,2025-05-06 14:34:00,8 (092) 675-2834,pickup,cash
78,476,paid,1121.58,2025-01-18 13:52:00,+7 300 096 23 50,courier,cash
79,661,delivered,3328.16,2024-11-13 15:12:00,8 267 859 88 63,courier,card
80,175,pending,1758.33,2025-01-08 21:49:00,8 (816) 306-36-97,pickup,card
81,805,delivered,5182.72,2024-11-09 10:34:00,+79979295039,courier,card
82,16,canceled,4402.24,2025-09-01 18:24:00,+7 689 938 88 53,pickup,online
83,59,paid,5664.97,2024-12-16 10:03:00,+7 986 806 11 28,post,card
84,467,paid,5797.8,2025-02-06 12:47:00,8 (421) 746-10-41,courier,card
85,16,shipped,2067.45,2024-12-11 21:40:00,8 714 924 93 82,pickup,card
86,483,paid,8918.93,2025-05-17 17:30:00,+71362564560,pickup,cash
87,173,shipped,10875.63,2025-02-11 08:43:00,+74323387395,pickup,cash
88,251,shipped,6665.4,2025-02-08 17:01:00,89782434098,courier,online
89,430,paid,2219.15,2025-01-12 16:42:00,8 (906) 638-2432,pickup,online
90,16,canceled,2802.2,2024-09-13 20:10:00,+7 178 115 9897,pickup,cash
91,583,delivered,2156.6,2024-10-08 08:56:00,+7 354 188 63 84,post,online
92,746,paid,1638.05,2024-11-21 21:08:00,8 (305) 378-73-05,courier,cash
93,80,paid,2461.06,2024-11-29 09:33:00,88000476244,pickup,cash
94,942,shipped,4099.22,2024-12-04 08:48:00,8 (407) 884-6031,pickup,cash
95,24,paid,2867.56,2025-09-21 18:56:00,87295632921,courier,cash
96,882,paid,2352.25,2024-11-06 10:19:00,+7 (701) 568-2484,courier,cash
97,190,paid,2949.79,2025-05-04 12:15:00,+76454390324,pickup,online
98,615,paid,765.29,2025-07-19 20:01:00,8 (489) 609-9221,pickup,cash
99,85,paid,6251.04,2025-05-11 21:52:00,+7 (157) 884-84-05,post,card
100,135,paid,5682.97,2025-01-07 10:18:00,+7 572 824 33 55,pickup,cash
101,1007,paid,1597.18,2025-07-18 11:50:00,+7 080 852 7144,pickup,online
102,161,paid,2839.86,2025-05-25 13:58:00,+7 (122) 874-58-76,pickup,cash
103,508,paid,9823.68,2025-04-04 14:52:00,8 245 791 94 67,pickup,cash
